Ticker,Sector,Price,Volume,Fifty Day Average
AZN,Healthcare,66.19,5308965,65.8994
AZPN,Technology,200.83,105322,194.9748
AZTA,Healthcare,59.23,396793,64.6688
BABX,-1,-1,76142,14.15684
BACK,Healthcare,1.29,4339,1.79304
BAER,Industrials,5.15,29205,5.48172
BAERW,Industrials,0.1975,8609,-1
BAFN,Financial Services,12.9,6591,12.59668
BAND,Technology,19.01,202961,15.5859
BANF,Financial Services,88.16,55358,88.8668
BANFP,-1,-1,546,25.798
BANL,Energy,1.07,2000,1.28002
BANR,Financial Services,46.5,187500,46.4
BANX,Financial Services,18.82,24474,18.5302
BAOS,Communication Services,3.26,11803,3.56974
BASE,Technology,27.4,899619,26.4092
BATRA,Communication Services,41.12,28215,42.3894
BATRK,Communication Services,38.13,119233,39.501
BAYA,-1,-1,-1,10.10164
BAYAR,-1,-1,200000,-1
BAYAU,-1,-1,1710,10.3087
BBCP,Industrials,8.02,53084,7.9504
BBGI,Communication Services,0.801,9551,0.8694
BBH,-1,-1,5007,165.2544
BBIO,Healthcare,28.98,1398996,34.0667
BBLG,Healthcare,2.2,17907,3.2044
BBLGW,Healthcare,21.11,1316,10.7502
BBSI,Industrials,125.74,22715,115.2306
BCAB,Healthcare,2.41,216625,2.4424
BCAL,Financial Services,14.85,26193,15.7868
BCAN,Technology,0.0192,80115315,0.183515
BCBP,Financial Services,10.44,31173,11.4396
BCDA,Healthcare,0.4,134997,0.4676
BCDAW,Healthcare,0.0171,163,-1
BCLI,Healthcare,0.48,1795292,0.3484
BCML,Financial Services,20.5,24618,20.4568
BCOV,Technology,1.91,193123,2.2044
BCOW,Financial Services,6.89,7765,7.48042
BCPC,Basic Materials,156.93,109018,148.0282
BCRX,Healthcare,5.49,2511666,5.6026
BCSA,Financial Services,11.04,205,10.98212
BCSAU,Financial Services,10.97,1,10.9616
BCSAW,Financial Services,0.037,6668,-1
BCTX,Healthcare,2.28,162798,3.6404
BCTXW,Healthcare,1.35,30542,-1
BCYC,Healthcare,25.85,150767,21.114
BDGS,-1,-1,112,27.23944
BDRX,Healthcare,1.0594,49306,1.5434
BDSX,Healthcare,1.35,54421,1.7261
BDTX,Healthcare,5.41,1067705,4.0125
BEAM,Healthcare,34.95,1109547,31.2959
